X, Y
8.600000e-02, 4.971333e+00
8.700000e-02, 4.971000e+00
8.800000e-02, 4.970667e+00
8.900000e-02, 4.970333e+00
9.000000e-02, 4.970000e+00
9.100000e-02, 4.969667e+00
9.200000e-02, 4.969333e+00
9.300000e-02, 4.969000e+00
9.400000e-02, 4.968667e+00
9.500000e-02, 4.968333e+00
9.600000e-02, 4.968000e+00
9.700000e-02, 4.967667e+00
9.800000e-02, 4.967333e+00
9.900000e-02, 4.967000e+00
1.000000e-01, 4.966667e+00
1.010000e-01, 4.966333e+00
1.020000e-01, 4.966000e+00
1.030000e-01, 4.965667e+00
1.040000e-01, 4.965333e+00
1.050000e-01, 4.965000e+00
1.060000e-01, 4.964667e+00
1.070000e-01, 4.964333e+00
1.080000e-01, 4.964000e+00
1.090000e-01, 4.963667e+00
1.100000e-01, 4.963333e+00
1.110000e-01, 4.963000e+00
1.120000e-01, 4.962667e+00
1.130000e-01, 4.962333e+00
1.140000e-01, 4.962000e+00
1.150000e-01, 4.961667e+00
1.160000e-01, 4.961333e+00
1.170000e-01, 4.961000e+00
1.180000e-01, 4.960667e+00
1.190000e-01, 4.960333e+00
1.200000e-01, 4.960000e+00
1.210000e-01, 4.959667e+00
1.220000e-01, 4.959333e+00
1.230000e-01, 4.959000e+00
1.240000e-01, 4.958667e+00
1.250000e-01, 4.958333e+00
1.260000e-01, 4.958000e+00
1.270000e-01, 4.957667e+00
1.280000e-01, 4.957333e+00
1.290000e-01, 4.957000e+00
1.300000e-01, 4.956667e+00
1.310000e-01, 4.956333e+00
1.320000e-01, 4.956000e+00
1.330000e-01, 4.955667e+00
1.340000e-01, 4.955333e+00
1.350000e-01, 4.955000e+00
1.360000e-01, 4.954667e+00
1.370000e-01, 4.954333e+00
1.380000e-01, 4.954000e+00
1.390000e-01, 4.953667e+00
1.400000e-01, 4.953333e+00
1.410000e-01, 4.953000e+00
1.420000e-01, 4.952667e+00
1.430000e-01, 4.952333e+00
1.440000e-01, 4.952000e+00
1.450000e-01, 4.951667e+00
1.460000e-01, 4.951333e+00
1.470000e-01, 4.951000e+00
1.480000e-01, 4.950667e+00
1.490000e-01, 4.950333e+00
1.500000e-01, 4.950000e+00
1.510000e-01, 4.949667e+00
1.520000e-01, 4.949333e+00
1.530000e-01, 4.949000e+00
1.540000e-01, 4.948667e+00
1.550000e-01, 4.948333e+00
1.560000e-01, 4.948000e+00
1.570000e-01, 4.947667e+00
1.580000e-01, 4.947333e+00
1.590000e-01, 4.947000e+00
1.600000e-01, 4.946667e+00
1.610000e-01, 4.946333e+00
1.620000e-01, 4.946000e+00
1.630000e-01, 4.945667e+00
1.640000e-01, 4.945333e+00
1.650000e-01, 4.945000e+00
1.660000e-01, 4.944667e+00
1.670000e-01, 4.944333e+00
1.680000e-01, 4.944000e+00
1.690000e-01, 4.943667e+00
1.700000e-01, 4.943333e+00
1.710000e-01, 4.943000e+00
1.720000e-01, 4.942667e+00
1.730000e-01, 4.942333e+00
1.740000e-01, 4.942000e+00
1.750000e-01, 4.941667e+00
1.760000e-01, 4.941333e+00
1.770000e-01, 4.941000e+00
1.780000e-01, 4.940667e+00
1.790000e-01, 4.940333e+00
1.800000e-01, 4.940000e+00
1.810000e-01, 4.939667e+00
1.820000e-01, 4.939333e+00
1.830000e-01, 4.939000e+00
1.840000e-01, 4.938667e+00
1.850000e-01, 4.938333e+00
1.860000e-01, 4.938000e+00
1.870000e-01, 4.937667e+00
1.880000e-01, 4.937333e+00
1.890000e-01, 4.937000e+00
1.900000e-01, 4.936667e+00
1.910000e-01, 4.936333e+00
1.920000e-01, 4.936000e+00
1.930000e-01, 4.935667e+00
1.940000e-01, 4.935333e+00
1.950000e-01, 4.935000e+00
1.960000e-01, 4.934667e+00
1.970000e-01, 4.934333e+00
1.980000e-01, 4.934000e+00
1.990000e-01, 4.933667e+00
2.000000e-01, 4.933333e+00
2.010000e-01, 4.933000e+00
2.020000e-01, 4.932667e+00
2.030000e-01, 4.932333e+00
2.040000e-01, 4.932000e+00
2.050000e-01, 4.931667e+00
2.060000e-01, 4.931333e+00
2.070000e-01, 4.931000e+00
2.080000e-01, 4.930667e+00
2.090000e-01, 4.930333e+00
2.100000e-01, 4.930000e+00
2.110000e-01, 4.929667e+00
2.120000e-01, 4.929333e+00
2.130000e-01, 4.929000e+00
2.140000e-01, 4.928667e+00
2.150000e-01, 4.928333e+00
2.160000e-01, 4.928000e+00
2.170000e-01, 4.927667e+00
2.180000e-01, 4.927333e+00
2.190000e-01, 4.927000e+00
2.200000e-01, 4.926667e+00
